"Demographics","Subgroup","Total Cases","Year","Own-party feeling","Rival-party feeling"
"pid and race","Other Democrats","5","1982","NA","NA"
"pid and race","Other Democrats","19","1984","NA","NA"
"pid and race","Other Democrats","18","1986","NA","NA"
"pid and race","Other Democrats","37","1988","NA","NA"
"pid and race","Other Democrats","18","1990","NA","NA"
"pid and race","Other Democrats","22","1992","NA","NA"
"pid and race","Other Democrats","14","1994","NA","NA"
"pid and race","Other Democrats","18","1996","NA","NA"
"pid and race","Other Democrats","14","1998","NA","NA"
"pid and race","Other Democrats","55","2000","72.9","41.5"
"pid and race","Other Democrats","24","2004","73.8","39.4"
"pid and race","Other Democrats","49","2008","68.6","33.7"
"pid and race","Other Democrats","86","2012","71.1","33.1"
"pid and race","Other Democrats","152","2016","71.2","30.8"
"pid and race","Other Democrats","356","2020","69","22.2"
"pid and race","Other Democrats","211","2024","66.5","23.5"
"pid and race","White Republicans","611","1978","68.2","47.1"
"pid and race","White Republicans","487","1980","70.5","44.1"
"pid and race","White Republicans","419","1982","71.8","45.3"
"pid and race","White Republicans","791","1984","74.2","46.6"
"pid and race","White Republicans","709","1986","72.6","46.8"
"pid and race","White Republicans","720","1988","75.5","44.8"
"pid and race","White Republicans","591","1990","69.3","47"
"pid and race","White Republicans","798","1992","66.6","41.8"
"pid and race","White Republicans","660","1994","70.2","36.6"
"pid and race","White Republicans","582","1996","69.1","39.1"
"pid and race","White Republicans","409","1998","66.2","42.9"
"pid and race","White Republicans","574","2000","70.8","39.5"
"pid and race","White Republicans","405","2004","73.5","39.6"
"pid and race","White Republicans","494","2008","67.8","35.7"
"pid and race","White Republicans","421","2012","65.7","33.7"
"pid and race","White Republicans","1465","2016","62.9","23.6"
"pid and race","White Republicans","2905","2020","73.5","16.3"
"pid and race","White Republicans","2016","2024","71.5","18.3"
"pid and race","Black Republicans","13","1978","NA","NA"
"pid and race","Black Republicans","13","1980","NA","NA"
"pid and race","Black Republicans","4","1982","NA","NA"
"pid and race","Black Republicans","20","1984","NA","NA"
"pid and race","Black Republicans","17","1986","NA","NA"
"pid and race","Black Republicans","28","1988","NA","NA"
"pid and race","Black Republicans","28","1990","NA","NA"
"pid and race","Black Republicans","22","1992","NA","NA"
"pid and race","Black Republicans","18","1994","NA","NA"
"pid and race","Black Republicans","13","1996","NA","NA"
"pid and race","Black Republicans","10","1998","NA","NA"
"pid and race","Black Republicans","14","2000","NA","NA"
"pid and race","Black Republicans","12","2004","NA","NA"
"pid and race","Black Republicans","22","2008","58","64.4"
"pid and race","Black Republicans","21","2012","59.7","49.6"
"pid and race","Black Republicans","17","2016","68.3","52.8"
"pid and race","Black Republicans","55","2020","66.9","32"
"pid and race","Black Republicans","60","2024","61.7","43.9"
"pid and race","Hispanic Republicans","11","1978","NA","NA"
"pid and race","Hispanic Republicans","15","1980","NA","NA"
"pid and race","Hispanic Republicans","6","1982","NA","NA"
"pid and race","Hispanic Republicans","36","1984","NA","NA"
"pid and race","Hispanic Republicans","23","1986","NA","NA"
"pid and race","Hispanic Republicans","40","1988","NA","NA"
"pid and race","Hispanic Republicans","44","1990","NA","NA"
"pid and race","Hispanic Republicans","58","1992","NA","NA"
"pid and race","Hispanic Republicans","38","1994","NA","NA"
"pid and race","Hispanic Republicans","34","1996","NA","NA"
"pid and race","Hispanic Republicans","33","1998","NA","NA"
"pid and race","Hispanic Republicans","43","2000","NA","NA"
"pid and race","Hispanic Republicans","39","2004","NA","NA"
"pid and race","Hispanic Republicans","109","2008","68.1","49"
"pid and race","Hispanic Republicans","84","2012","68.3","40.1"
"pid and race","Hispanic Republicans","101","2016","58.3","33.9"
"pid and race","Hispanic Republicans","207","2020","69.8","24"
"pid and race","Hispanic Republicans","185","2024","68.3","26.1"
"pid and race","Other Republicans","6","1978","NA","NA"
"pid and race","Other Republicans","3","1980","NA","NA"
"pid and race","Other Republicans","2","1982","NA","NA"
"pid and race","Other Republicans","12","1984","NA","NA"
"pid and race","Other Republicans","13","1986","NA","NA"
"pid and race","Other Republicans","13","1988","NA","NA"
"pid and race","Other Republicans","25","1990","NA","NA"
"pid and race","Other Republicans","25","1992","NA","NA"
"pid and race","Other Republicans","13","1994","NA","NA"
"pid and race","Other Republicans","19","1996","NA","NA"
"pid and race","Other Republicans","8","1998","NA","NA"
"pid and race","Other Republicans","34","2000","NA","NA"
"pid and race","Other Republicans","20","2004","NA","NA"
"pid and race","Other Republicans","14","2008","NA","NA"
"pid and race","Other Republicans","34","2012","NA","NA"
"pid and race","Other Republicans","124","2016","NA","NA"
"pid and race","Other Republicans","216","2020","NA","NA"
"pid and race","Other Republicans","162","2024","69.7","22.1"
"pid and age","18-29 Democrats","296","1978","69","48.3"
"pid and age","18-29 Democrats","195","1980","68.4","47.6"
"pid and age","18-29 Democrats","167","1982","71.7","44.4"
"pid and age","18-29 Democrats","258","1984","72","43.4"
"pid and age","18-29 Democrats","227","1986","73.4","45.6"
"pid and age","18-29 Democrats","190","1988","75.6","45.8"
"pid and age","18-29 Democrats","185","1990","69.7","46.5"
"pid and age","18-29 Democrats","217","1992","68","43.5"
"pid and age","18-29 Democrats","148","1994","67.7","47"
"pid and age","18-29 Democrats","135","1996","71.9","41.4"
"pid and age","18-29 Democrats","106","1998","70.5","40.9"
"pid and age","18-29 Democrats","136","2000","72.7","42.3"
"pid and age","18-29 Democrats","138","2004","70.6","38.1"
"pid and age","18-29 Democrats","243","2008","70.8","33"
"pid and age","18-29 Democrats","261","2012","74.7","34.2"
"pid and age","18-29 Democrats","313","2016","68.1","28.8"
"pid and age","18-29 Democrats","537","2020","65.1","20.4"
"pid and age","18-29 Democrats","281","2024","63.2","23.4"
"pid and age","30-44 Democrats","326","1978","71.1","47.1"
"pid and age","30-44 Democrats","225","1980","69.8","47.5"
"pid and age","30-44 Democrats","229","1982","74.3","43.1"
"pid and age","30-44 Democrats","301","1984","74.2","45.3"
"pid and age","30-44 Democrats","359","1986","74.3","47.2"
"pid and age","30-44 Democrats","317","1988","74.4","44.9"
"pid and age","30-44 Democrats","344","1990","70.7","45.3"
"pid and age","30-44 Democrats","412","1992","70.6","39.9"
"pid and age","30-44 Democrats","286","1994","67.9","44.6"
"pid and age","30-44 Democrats","314","1996","69.8","41.1"
"pid and age","30-44 Democrats","204","1998","72","39.8"
"pid and age","30-44 Democrats","275","2000","72.2","46.1"
"pid and age","30-44 Democrats","139","2004","70.9","40.3"
"pid and age","30-44 Democrats","369","2008","72.6","33.5"
"pid and age","30-44 Democrats","367","2012","71.9","30.4"
"pid and age","30-44 Democrats","505","2016","71.9","27.2"
"pid and age","30-44 Democrats","982","2020","68.6","22.2"
"pid and age","30-44 Democrats","621","2024","65.1","21.2"
"pid and age","45-59 Democrats","247","1978","75.4","50.6"
"pid and age","45-59 Democrats","171","1980","76","50.2"
"pid and age","45-59 Democrats","149","1982","76.7","43"
"pid and age","45-59 Democrats","225","1984","77.3","47.7"
"pid and age","45-59 Democrats","206","1986","76.3","44"
"pid and age","45-59 Democrats","184","1988","77.1","49.8"
"pid and age","45-59 Democrats","177","1990","72.8","45.3"
"pid and age","45-59 Democrats","253","1992","73","42.5"
"pid and age","45-59 Democrats","166","1994","69.7","46"
"pid and age","45-59 Democrats","198","1996","75.3","43.1"
"pid and age","45-59 Democrats","168","1998","72","36"
"pid and age","45-59 Democrats","244","2000","74.9","38.6"
"pid and age","45-59 Democrats","162","2004","74.2","39"
"pid and age","45-59 Democrats","387","2008","73.9","31"
"pid and age","45-59 Democrats","338","2012","74.3","31.7"
"pid and age","45-59 Democrats","495","2016","72.1","26"
"pid and age","45-59 Democrats","840","2020","71.7","20.9"
"pid and age","45-59 Democrats","575","2024","71.4","21.2"
"pid and age","60+ Democrats","229","1978","78.7","47.8"
"pid and age","60+ Democrats","212","1980","80.3","47.2"
"pid and age","60+ Democrats","213","1982","80.2","43.9"
"pid and age","60+ Democrats","243","1984","79.2","42.4"
"pid and age","60+ Democrats","268","1986","79.7","45.3"
"pid and age","60+ Democrats","234","1988","81.4","43.4"
"pid and age","60+ Democrats","279","1990","77","45"
"pid and age","60+ Democrats","318","1992","76.8","39"
"pid and age","60+ Democrats","229","1994","75.7","48.8"
"pid and age","60+ Democrats","237","1996","78.9","42.2"
"pid and age","60+ Democrats","160","1998","77.7","39.6"
"pid and age","60+ Democrats","218","2000","78.2","41.9"
"pid and age","60+ Democrats","146","2004","79.5","36.3"
"pid and age","60+ Democrats","327","2008","74.9","34.9"
"pid and age","60+ Democrats","243","2012","74.2","30.6"
"pid and age","60+ Democrats","569","2016","72.6","25.5"
"pid and age","60+ Democrats","1349","2020","75.4","18.9"
"pid and age","60+ Democrats","1059","2024","78","19.5"
"pid and age","18-29 Republicans","143","1978","64.8","47.6"
"pid and age","18-29 Republicans","133","1980","68.3","43.6"
"pid and age","18-29 Republicans","93","1982","69.3","42.8"
"pid and age","18-29 Republicans","202","1984","71.3","45.3"
"pid and age","18-29 Republicans","208","1986","71.3","47.3"
"pid and age","18-29 Republicans","188","1988","74.3","46.9"
"pid and age","18-29 Republicans","177","1990","67.3","48.6"
"pid and age","18-29 Republicans","179","1992","67.9","45.2"
"pid and age","18-29 Republicans","132","1994","70.3","38.5"
"pid and age","18-29 Republicans","87","1996","66.4","42.5"
"pid and age","18-29 Republicans","100","1998","68.5","47"
"pid and age","18-29 Republicans","86","2000","66.8","48.1"
"pid and age","18-29 Republicans","71","2004","70.3","42.6"
"pid and age","18-29 Republicans","95","2008","68","41.1"
"pid and age","18-29 Republicans","107","2012","62","41.5"
"pid and age","18-29 Republicans","218","2016","61.3","29.5"
"pid and age","18-29 Republicans","302","2020","70.8","22.8"
"pid and age","18-29 Republicans","211","2024","71.5","23.2"
"pid and age","30-44 Republicans","206","1978","65.2","46.7"
"pid and age","30-44 Republicans","144","1980","70.3","44.1"
"pid and age","30-44 Republicans","129","1982","72","44.9"
"pid and age","30-44 Republicans","295","1984","72.2","47.8"
"pid and age","30-44 Republicans","249","1986","70.7","45.4"
"pid and age","30-44 Republicans","283","1988","74.3","42.6"
"pid and age","30-44 Republicans","214","1990","68.3","49.3"
"pid and age","30-44 Republicans","325","1992","64.9","42.5"
"pid and age","30-44 Republicans","272","1994","70.5","35.7"
"pid and age","30-44 Republicans","234","1996","69.1","38.2"
"pid and age","30-44 Republicans","161","1998","63.8","43.2"
"pid and age","30-44 Republicans","243","2000","69.3","38.9"
"pid and age","30-44 Republicans","133","2004","71.7","42.4"
"pid and age","30-44 Republicans","167","2008","65.5","38.1"
"pid and age","30-44 Republicans","145","2012","61.9","34.8"
"pid and age","30-44 Republicans","363","2016","61","27.9"
"pid and age","30-44 Republicans","752","2020","71.3","19.4"
"pid and age","30-44 Republicans","564","2024","69","20.2"
"pid and age","45-59 Republicans","147","1978","68.1","48.9"
"pid and age","45-59 Republicans","118","1980","70.9","45.5"
"pid and age","45-59 Republicans","95","1982","69.8","47.3"
"pid and age","45-59 Republicans","151","1984","75.7","47.4"
"pid and age","45-59 Republicans","143","1986","73.1","44.3"
"pid and age","45-59 Republicans","148","1988","75.1","45.5"
"pid and age","45-59 Republicans","126","1990","72","46.2"
"pid and age","45-59 Republicans","195","1992","63.6","39.8"
"pid and age","45-59 Republicans","161","1994","69.6","38.6"
"pid and age","45-59 Republicans","159","1996","68.7","42.2"
"pid and age","45-59 Republicans","105","1998","67.8","40.3"
"pid and age","45-59 Republicans","189","2000","71","38.8"
"pid and age","45-59 Republicans","152","2004","74.2","39.4"
"pid and age","45-59 Republicans","198","2008","67.4","35.1"
"pid and age","45-59 Republicans","147","2012","66.5","34.5"
"pid and age","45-59 Republicans","480","2016","61","24.7"
"pid and age","45-59 Republicans","853","2020","72","17.3"
"pid and age","45-59 Republicans","526","2024","69","21.1"
"pid and age","60+ Republicans","142","1978","74.4","46.6"
"pid and age","60+ Republicans","122","1980","74.7","44.5"
"pid and age","60+ Republicans","114","1982","74.6","46.8"
"pid and age","60+ Republicans","212","1984","77.7","49"
"pid and age","60+ Republicans","162","1986","76.9","51.3"
"pid and age","60+ Republicans","185","1988","78.9","48"
"pid and age","60+ Republicans","172","1990","70.6","49.5"
"pid and age","60+ Republicans","209","1992","72.3","45.4"
"pid and age","60+ Republicans","181","1994","70.7","41.3"
"pid and age","60+ Republicans","173","1996","72.9","40"
"pid and age","60+ Republicans","95","1998","69.5","47.1"
"pid and age","60+ Republicans","149","2000","73.3","38.5"
"pid and age","60+ Republicans","122","2004","77","40.2"
"pid and age","60+ Republicans","173","2008","69.9","36.3"
"pid and age","60+ Republicans","149","2012","70.7","29.6"
"pid and age","60+ Republicans","608","2016","65.9","21.7"
"pid and age","60+ Republicans","1360","2020","74.6","15.3"
"pid and age","60+ Republicans","1010","2024","73.1","18.2"
"pid and region","Democrats in South","314","1978","74.8","50.2"
"pid and region","Democrats in South","254","1980","76.4","47.7"
"pid and region","Democrats in South","247","1982","79.7","45.6"
"pid and region","Democrats in South","320","1984","77.6","47.8"
"pid and region","Democrats in South","388","1986","77.9","48.5"
"pid and region","Democrats in South","339","1988","77","48.6"
"pid and region","Democrats in South","323","1990","75.4","45.7"
"pid and region","Democrats in South","373","1992","75.8","43.6"
"pid and region","Democrats in South","295","1994","71.4","49.8"
"pid and region","Democrats in South","312","1996","76.8","46"
"pid and region","Democrats in South","201","1998","76.2","40.5"
"pid and region","Democrats in South","256","2000","77.1","40.9"
"pid and region","Democrats in South","182","2004","77","39.2"
"pid and region","Democrats in South","561","2008","73.9","35.5"
"pid and region","Democrats in South","489","2012","75.9","30.8"
"pid and region","Democrats in South","533","2016","74.3","28.2"
"pid and region","Democrats in South","1007","2020","73.9","22.3"
"pid and region","Democrats in South","716","2024","71.4","22.5"
"pid and region","Democrats in Nonsouth","788","1978","72.3","47.6"
"pid and region","Democrats in Nonsouth","550","1980","72.2","48.2"
"pid and region","Democrats in Nonsouth","511","1982","74.1","42.7"
"pid and region","Democrats in Nonsouth","718","1984","74.7","43.3"
"pid and region","Democrats in Nonsouth","675","1986","74.7","44.2"
"pid and region","Democrats in Nonsouth","588","1988","76.9","44"
"pid and region","Democrats in Nonsouth","662","1990","71.3","45.3"
"pid and region","Democrats in Nonsouth","827","1992","70.7","39.6"
"pid and region","Democrats in Nonsouth","534","1994","69.4","44.6"
"pid and region","Democrats in Nonsouth","573","1996","71.8","39.5"
"pid and region","Democrats in Nonsouth","447","1998","71.7","38.2"
"pid and region","Democrats in Nonsouth","621","2000","73.3","43"
"pid and region","Democrats in Nonsouth","403","2004","72.2","38.1"
"pid and region","Democrats in Nonsouth","788","2008","72.6","31.6"
"pid and region","Democrats in Nonsouth","755","2012","72.6","31.9"
"pid and region","Democrats in Nonsouth","1389","2016","70","26.4"
"pid and region","Democrats in Nonsouth","2804","2020","69.3","19.9"
"pid and region","Democrats in Nonsouth","1919","2024","69.9","20.5"
"pid and region","Republicans in South","158","1978","68.4","48.3"
"pid and region","Republicans in South","124","1980","72.4","45.7"
"pid and region","Republicans in South","111","1982","72.7","47.2"
"pid and region","Republicans in South","190","1984","75.6","45.8"
"pid and region","Republicans in South","200","1986","74.7","47.1"
"pid and region","Republicans in South","202","1988","78.8","42.5"
"pid and region","Republicans in South","161","1990","70.1","52.2"
"pid and region","Republicans in South","253","1992","68.8","44.2"
"pid and region","Republicans in South","247","1994","71.9","38.3"
"pid and region","Republicans in South","216","1996","71.3","40.4"
"pid and region","Republicans in South","169","1998","71.1","45.4"
"pid and region","Republicans in South","231","2000","71","38.8"
"pid and region","Republicans in South","155","2004","78","41.8"
"pid and region","Republicans in South","305","2008","70.6","35.6"
"pid and region","Republicans in South","188","2012","68.5","32.4"
"pid and region","Republicans in South","607","2016","64.4","24.1"
"pid and region","Republicans in South","1202","2020","74.5","17.3"
"pid and region","Republicans in South","902","2024","72.3","19.5"
"pid and region","Republicans in Nonsouth","484","1978","67.6","47.1"
"pid and region","Republicans in Nonsouth","394","1980","70.6","44"
"pid and region","Republicans in Nonsouth","321","1982","71.2","44.9"
"pid and region","Republicans in Nonsouth","674","1984","73.5","47.9"
"pid and region","Republicans in Nonsouth","562","1986","71.9","46.8"
"pid and region","Republicans in Nonsouth","602","1988","74.4","46.3"
"pid and region","Republicans in Nonsouth","528","1990","69","47.4"
"pid and region","Republicans in Nonsouth","655","1992","66.2","42.8"
"pid and region","Republicans in Nonsouth","499","1994","69.5","38"
"pid and region","Republicans in Nonsouth","437","1996","68.2","40.4"
"pid and region","Republicans in Nonsouth","296","1998","64.3","43.6"
"pid and region","Republicans in Nonsouth","439","2000","69.7","41.3"
"pid and region","Republicans in Nonsouth","323","2004","71.4","40.6"
"pid and region","Republicans in Nonsouth","341","2008","64.9","38.2"
"pid and region","Republicans in Nonsouth","373","2012","63.9","35.3"
"pid and region","Republicans in Nonsouth","1111","2016","61.4","25.7"
"pid and region","Republicans in Nonsouth","2213","2020","71.4","18.1"
"pid and region","Republicans in Nonsouth","1552","2024","69.8","20.5"
"pid and knowledge","Less knowledgeable Democrats","430","1978","73.9","49.3"
"pid and knowledge","Less knowledgeable Democrats","204","1980","77.1","51"
"pid and knowledge","Less knowledgeable Democrats","528","1982","77.2","43.2"
"pid and knowledge","Less knowledgeable Democrats","405","1984","75.9","47.4"
"pid and knowledge","Less knowledgeable Democrats","727","1986","76.1","46.7"
"pid and knowledge","Less knowledgeable Democrats","337","1988","76.3","45.9"
"pid and knowledge","Less knowledgeable Democrats","486","1990","73.3","47.5"
"pid and knowledge","Less knowledgeable Democrats","474","1992","73.7","44.2"
"pid and knowledge","Less knowledgeable Democrats","247","1994","71.3","48.2"
"pid and knowledge","Less knowledgeable Democrats","210","1996","72.8","46.7"
"pid and knowledge","Less knowledgeable Democrats","190","1998","73.6","44.2"
"pid and knowledge","Less knowledgeable Democrats","332","2000","73.8","41.4"
"pid and knowledge","Less knowledgeable Democrats","201","2004","72.9","44.2"
"pid and knowledge","Less knowledgeable Democrats","796","2008","73.7","33.6"
"pid and knowledge","Less knowledgeable Democrats","173","2012","72.6","36.8"
"pid and knowledge","Less knowledgeable Democrats","460","2016","70.5","31.5"
"pid and knowledge","Less knowledgeable Democrats","1143","2020","72.5","23.9"
"pid and knowledge","Less knowledgeable Democrats","753","2024","67.8","24.3"
"pid and knowledge","More knowledgeable Democrats","670","1978","72.5","47.7"
"pid and knowledge","More knowledgeable Democrats","489","1980","71.5","47.5"
"pid and knowledge","More knowledgeable Democrats","222","1982","72.7","44.6"
"pid and knowledge","More knowledgeable Democrats","479","1984","75.3","42.7"
"pid and knowledge","More knowledgeable Democrats","336","1986","75.4","43.6"
"pid and knowledge","More knowledgeable Democrats","479","1988","77.2","46.1"
"pid and knowledge","More knowledgeable Democrats","498","1990","72","43.4"
"pid and knowledge","More knowledgeable Democrats","612","1992","71","38.1"
"pid and knowledge","More knowledgeable Democrats","575","1994","69.3","45.4"
"pid and knowledge","More knowledgeable Democrats","582","1996","73.9","40.3"
"pid and knowledge","More knowledgeable Democrats","458","1998","72.9","36.7"
"pid and knowledge","More knowledgeable Democrats","413","2000","74.7","42.6"
"pid and knowledge","More knowledgeable Democrats","300","2004","74.6","34.5"
"pid and knowledge","More knowledgeable Democrats","415","2008","72.2","32.5"
"pid and knowledge","More knowledgeable Democrats","587","2012","73.6","27.7"
"pid and knowledge","More knowledgeable Democrats","1388","2016","71.5","25"
"pid and knowledge","More knowledgeable Democrats","2586","2020","69.5","18.5"
"pid and knowledge","More knowledgeable Democrats","1752","2024","70.7","19.6"
"pid and knowledge","Less knowledgeable Republicans","166","1978","65.8","50.7"
"pid and knowledge","Less knowledgeable Republicans","91","1980","70","50.8"
"pid and knowledge","Less knowledgeable Republicans","247","1982","71.2","47.4"
"pid and knowledge","Less knowledgeable Republicans","274","1984","72.4","49.9"
"pid and knowledge","Less knowledgeable Republicans","438","1986","71.7","49.5"
"pid and knowledge","Less knowledgeable Republicans","239","1988","72.7","48.9"
"pid and knowledge","Less knowledgeable Republicans","299","1990","69.2","52.5"
"pid and knowledge","Less knowledgeable Republicans","255","1992","66.6","49.3"
"pid and knowledge","Less knowledgeable Republicans","121","1994","65.9","48"
"pid and knowledge","Less knowledgeable Republicans","107","1996","67.9","42.7"
"pid and knowledge","Less knowledgeable Republicans","131","1998","66.7","50.9"
"pid and knowledge","Less knowledgeable Republicans","224","2000","69.2","47.1"
"pid and knowledge","Less knowledgeable Republicans","182","2004","72.7","45.2"
"pid and knowledge","Less knowledgeable Republicans","294","2008","66.8","40.5"
"pid and knowledge","Less knowledgeable Republicans","103","2012","66.4","32.3"
"pid and knowledge","Less knowledgeable Republicans","422","2016","64.2","28.9"
"pid and knowledge","Less knowledgeable Republicans","981","2020","73.1","22.5"
"pid and knowledge","Less knowledgeable Republicans","874","2024","70.6","21.9"
"pid and knowledge","More knowledgeable Republicans","473","1978","68.7","46.4"
"pid and knowledge","More knowledgeable Republicans","381","1980","70.6","42.9"
"pid and knowledge","More knowledgeable Republicans","183","1982","71.9","43"
"pid and knowledge","More knowledgeable Republicans","491","1984","74.9","45.1"
"pid and knowledge","More knowledgeable Republicans","323","1986","73.8","43.4"
"pid and knowledge","More knowledgeable Republicans","473","1988","77.1","44"
"pid and knowledge","More knowledgeable Republicans","389","1990","69.4","45.6"
"pid and knowledge","More knowledgeable Republicans","577","1992","67.1","40.8"
"pid and knowledge","More knowledgeable Republicans","618","1994","71.3","35.9"
"pid and knowledge","More knowledgeable Republicans","484","1996","70","39.5"
"pid and knowledge","More knowledgeable Republicans","334","1998","66.8","41.4"
"pid and knowledge","More knowledgeable Republicans","373","2000","71.1","36.1"
"pid and knowledge","More knowledgeable Republicans","256","2004","74.1","37.9"
"pid and knowledge","More knowledgeable Republicans","303","2008","68.4","33.4"
"pid and knowledge","More knowledgeable Republicans","285","2012","64.8","31.1"
"pid and knowledge","More knowledgeable Republicans","1230","2016","61.7","23.6"
"pid and knowledge","More knowledgeable Republicans","2364","2020","72","16"
"pid and knowledge","More knowledgeable Republicans","1388","2024","70","19.5"
"gender and education","Non-college men","588","1978","70.3","48.7"
"gender and education","Non-college men","433","1980","74","47.2"
"gender and education","Non-college men","403","1982","73.3","45.3"
"gender and education","Non-college men","659","1984","73.8","46.6"
"gender and education","Non-college men","598","1986","73.7","46.8"
"gender and education","Non-college men","529","1988","76.6","45.6"
"gender and education","Non-college men","567","1990","70.7","47.5"
"gender and education","Non-college men","670","1992","69.2","42.4"
"gender and education","Non-college men","490","1994","69.3","43.7"
"gender and education","Non-college men","451","1996","71.6","41.5"
"gender and education","Non-college men","342","1998","69.7","42.3"
"gender and education","Non-college men","420","2000","71.5","42.4"
"gender and education","Non-college men","328","2004","72.9","41.7"
"gender and education","Non-college men","660","2008","70.5","34.5"
"gender and education","Non-college men","574","2012","69.6","33.9"
"gender and education","Non-college men","979","2016","66.4","26.8"
"gender and education","Non-college men","1700","2020","72","19.8"
"gender and education","Non-college men","1226","2024","70.6","21.1"
"gender and education","College grad+ men","179","1978","64.3","46.5"
"gender and education","College grad+ men","124","1980","64.5","44.2"
"gender and education","College grad+ men","125","1982","69.3","41.1"
"gender and education","College grad+ men","176","1984","70.8","43.2"
"gender and education","College grad+ men","199","1986","71.8","43.8"
"gender and education","College grad+ men","200","1988","73.7","42.4"
"gender and education","College grad+ men","200","1990","67.1","42.6"
"gender and education","College grad+ men","290","1992","65.1","36.7"
"gender and education","College grad+ men","227","1994","70.1","37"
"gender and education","College grad+ men","237","1996","68.2","38.4"
"gender and education","College grad+ men","168","1998","66.4","38.7"
"gender and education","College grad+ men","261","2000","69.1","39.2"
"gender and education","College grad+ men","166","2004","68.9","37.7"
"gender and education","College grad+ men","196","2008","64","29.5"
"gender and education","College grad+ men","203","2012","64.3","28.5"
"gender and education","College grad+ men","710","2016","62.9","23.7"
"gender and education","College grad+ men","1553","2020","65.2","17"
"gender and education","College grad+ men","1108","2024","64.8","19.6"
"gender and education","Non-college women","833","1978","73.3","48.1"
"gender and education","Non-college women","649","1980","73.6","47.8"
"gender and education","Non-college women","551","1982","76.8","44.5"
"gender and education","Non-college women","895","1984","76.5","47"
"gender and education","Non-college women","814","1986","76.2","46.3"
"gender and education","Non-college women","804","1988","76.4","46.5"
"gender and education","Non-college women","721","1990","72.9","48.3"
"gender and education","Non-college women","866","1992","72.3","44.3"
"gender and education","Non-college women","641","1994","70.2","44.5"
"gender and education","Non-college women","643","1996","72.9","42.5"
"gender and education","Non-college women","443","1998","73","42.2"
"gender and education","Non-college women","620","2000","74.2","41.8"
"gender and education","Non-college women","394","2004","76","40.9"
"gender and education","Non-college women","863","2008","72.8","37.8"
"gender and education","Non-college women","757","2012","73.4","35"
"gender and education","Non-college women","1125","2016","69.9","27.1"
"gender and education","Non-college women","2097","2020","74.9","20.6"
"gender and education","Non-college women","1446","2024","73.3","20.6"
"gender and education","College grad+ women","139","1978","69.9","46.7"
"gender and education","College grad+ women","112","1980","69.7","40.6"
"gender and education","College grad+ women","107","1982","71.8","43"
"gender and education","College grad+ women","163","1984","74.6","40.6"
"gender and education","College grad+ women","196","1986","72.3","46.1"
"gender and education","College grad+ women","167","1988","76.3","44.3"
"gender and education","College grad+ women","159","1990","71","43.4"
"gender and education","College grad+ women","228","1992","69.5","36.3"
"gender and education","College grad+ women","183","1994","73.6","35"
"gender and education","College grad+ women","204","1996","71.5","38"
"gender and education","College grad+ women","155","1998","68.3","36.9"
"gender and education","College grad+ women","244","2000","73","41.4"
"gender and education","College grad+ women","175","2004","73.7","32.5"
"gender and education","College grad+ women","264","2008","71.7","31.9"
"gender and education","College grad+ women","255","2012","67.4","30.1"
"gender and education","College grad+ women","763","2016","66.8","25.1"
"gender and education","College grad+ women","1753","2020","71.1","18.3"
"gender and education","College grad+ women","1231","2024","70.7","20.7"
"gender and race","White men","681","1978","68.1","48.3"
"gender and race","White men","463","1980","70","46.3"
"gender and race","White men","461","1982","71.5","44.8"
"gender and race","White men","700","1984","72.7","46"
"gender and race","White men","630","1986","72.1","46"
"gender and race","White men","593","1988","75","44.5"
"gender and race","White men","594","1990","68.3","43.8"
"gender and race","White men","775","1992","66.4","39.6"
"gender and race","White men","578","1994","67.9","40"
"gender and race","White men","547","1996","68.6","39.9"
"gender and race","White men","393","1998","66.3","39.9"
"gender and race","White men","516","2000","69.8","40.4"
"gender and race","White men","342","2004","71","38.8"
"gender and race","White men","430","2008","66.4","32.2"
"gender and race","White men","371","2012","65.9","31.9"
"gender and race","White men","1245","2016","63.7","24.4"
"gender and race","White men","2468","2020","68.6","16.5"
"gender and race","White men","1739","2024","68.4","18.1"
"gender and race","Black men","57","1978","75.3","48.7"
"gender and race","Black men","65","1980","83.4","45.6"
"gender and race","Black men","49","1982","79.4","35.7"
"gender and race","Black men","68","1984","79.2","39.6"
"gender and race","Black men","112","1986","79.7","44.6"
"gender and race","Black men","71","1988","78.1","45.6"
"gender and race","Black men","89","1990","76.1","50"
"gender and race","Black men","100","1992","76.6","40.2"
"gender and race","Black men","67","1994","76.5","52.3"
"gender and race","Black men","62","1996","77.2","41.9"
"gender and race","Black men","44","1998","78.9","42.1"
"gender and race","Black men","69","2000","75.9","45.8"
"gender and race","Black men","75","2004","74","44.7"
"gender and race","Black men","210","2008","77.5","34.7"
"gender and race","Black men","186","2012","78","30.7"
"gender and race","Black men","134","2016","75.6","28.2"
"gender and race","Black men","224","2020","74.9","23.3"
"gender and race","Black men","177","2024","73.7","28.8"
"gender and race","Hispanic men","21","1978","75.7","37"
"gender and race","Hispanic men","24","1980","79.8","49"
"gender and race","Hispanic men","15","1982","74.3","54.7"
"gender and race","Hispanic men","53","1984","76.5","50.3"
"gender and race","Hispanic men","42","1986","75.6","49.4"
"gender and race","Hispanic men","58","1988","82.8","42.4"
"gender and race","Hispanic men","70","1990","73.3","53.6"
"gender and race","Hispanic men","82","1992","73.2","49.4"
